name,algset,caseid,catalog,alg1,alg2,alg3,alg4,video,videoimg,color,orientation
F2L01,F2L,F2L 1,Pieces On Top,U R U' R',R' F R F',y' r' U' R U M',U2 R U2 R',https://www.youtube.com/watch?v=8_TtKnJ2ZyY&start=0s,https://img.youtube.com/vi/8_TtKnJ2ZyY/0.jpg,,0
F2L01-1,F2L,F2L 1,Pieces On Top,F' r U r',F' L F L',y' U R U' R',U F U' F',,,,1
F2L01-2,F2L,F2L 1,Pieces On Top,U L U' L',U2 L U2 L',r' U L U' x,r' U r f',,,,2
F2L01-3,F2L,F2L 1,Pieces On Top,U f R' f',r' U' R U M',U2 R2' F R F' R,d L U' L',,,,3
F2L02,F2L,F2L 2,Pieces On Top,F R' F' R,y' U' R' U R,y U' L' U L,r U R' U' M,,,,0
F2L02-1,F2L,F2L 2,Pieces On Top,U' L' U L,L F' L' F,U r' U' F U F' r,,,,,1
F2L02-2,F2L,F2L 2,Pieces On Top,d' R' U R,y' U' L' U L,U' f' L f,l U L' U' M',,,,2
F2L02-3,F2L,F2L 2,Pieces On Top,U' R' U R,,,,,,,3
F2L03,F2L,F2L 3,Pieces On Top,F' U' F,y' R' U' R,y L' U' L,S U R U' R' S',,,,0
F2L03-1,F2L,F2L 3,Pieces On Top,L' U' L,U2 R' F R U R' F' R,,,,,,1
F2L03-2,F2L,F2L 3,Pieces On Top,f' L' f,y R' U' R,f' r' U z,,,,,2
F2L03-3,F2L,F2L 3,Pieces On Top,R' U' R,,,,,,,3
F2L04,F2L,F2L 4,Pieces On Top,R U R',y' f R f',y2 L U L',y F U F',,,,0
F2L04-1,F2L,F2L 4,Pieces On Top,F U F',y L U L',y' R U R',,,,,1
F2L04-2,F2L,F2L 4,Pieces On Top,L U L',,,,,,,2
F2L04-3,F2L,F2L 4,Pieces On Top,f R f',y' L U L',y R U R',U2 S' R' U2 R S,,,,3
F2L05,F2L,F2L 5,Pieces On Top,U' R U R' U2 R U' R',U' R U R' U' R U2 R',y2 U' L U L' U2 L U' L',U' R U R' U2' R U' R',,,,0
F2L05-1,F2L,F2L 5,Pieces On Top,U R' F r U' r' F' R,U l' U L U' L' U' l,y' U' R U R' U2 R U' R',y U' L U L' U2 L U' L',,,,1
F2L05-2,F2L,F2L 5,Pieces On Top,U' L U L' U' L U2 L',U' L U L' U2 L U' L',,,,,,2
F2L05-3,F2L,F2L 5,Pieces On Top,U' R' F R U R' U' F' R,U r' U R U' R' U' r,R2 F' U' F U R2,y U' R U R' U2 R U' R',,,,3
F2L06,F2L,F2L 6,Pieces On Top,U' r U' R' U R U r',y' U R' U' R U2 R' U R,d R' U' R U2 R' U R,y U L' U' L U2 L' U L,,,,0
F2L06-1,F2L,F2L 6,Pieces On Top,U L' U' L U2' L' U L,F2 R U R' U' F2,U L' U' L U L' U2 L,R' F2 R U R' U' F2 U R,,,,1
F2L06-2,F2L,F2L 6,Pieces On Top,U r U' r' U' L U F L',y U R' U' R U R' U2' R,U' l U' L' U L U l',U L F' L' U' L U F L',,,,2
F2L06-3,F2L,F2L 6,Pieces On Top,U R' U' R U2 R' U R,U R' U' R U R' U2' R,U R' U' R U R' U2 R,,,,,3
F2L07,F2L,F2L 7,Pieces On Top,U' R U2' R' U2 R U' R',U' R U2 R' U' R U2 R',U' R U2 R' U R' F R F',y2 U' L U2 L' U2 L U' L',,,,0
F2L07-1,F2L,F2L 7,Pieces On Top,F U R U2' R' U F',d' L U2' L' U2 L U' L',U' F U2 R U' R' U F',l U2 L2 U' L2 U' l',,,,1
