name,algset,case,catalog,alt1,alt2,alt3,alt4,vlink,vimg,fc,ori
F2L01,F2L,F2L 1,Pieces On Top,U R U' R',R' F R F',y' r' U' R U M',U2 R U2 R',https://www.youtube.com/watch?v=8_TtKnJ2ZyY&start=0s,https://img.youtube.com/vi/8_TtKnJ2ZyY/0.jpg,,0
F2L01-1,F2L,F2L 1,Pieces On Top,F' r U r',U F U' F',F' L F L',y' U R U' R',,,,1
F2L01-2,F2L,F2L 1,Pieces On Top,U L U' L',U2 L U2 L',r' U L U' x,r' U r f',,,,2
F2L01-3,F2L,F2L 1,Pieces On Top,U f R' f',U2 R2' F R F' R,r' U' R U M',d L U' L',,,,3
F2L02,F2L,F2L 2,Pieces On Top,F R' F' R,y' U' R' U R,y U' L' U L,d' L' U L,,,,0
F2L02-1,F2L,F2L 2,Pieces On Top,U' L' U L,L F' L' F,U r' U' F U F' r,,,,,1
F2L02-2,F2L,F2L 2,Pieces On Top,d' R' U R,U' f' L f,y' U' L' U L,l U L' U' M',,,,2
F2L02-3,F2L,F2L 2,Pieces On Top,U' R' U R,,,,,,,3
F2L03,F2L,F2L 3,Pieces On Top,F' U' F,y' R' U' R,y L' U' L,S U R U' R' S',,,,0
F2L03-1,F2L,F2L 3,Pieces On Top,L' U' L,U2 R' F R U R' F' R,,,,,,1
F2L03-2,F2L,F2L 3,Pieces On Top,f' L' f,y R' U' R,f' r' U z,,,,,2
F2L03-3,F2L,F2L 3,Pieces On Top,R' U' R,,,,,,,3
F2L04,F2L,F2L 4,Pieces On Top,R U R',y' f R f',y2 L U L',y F U F',,,,0
F2L04-1,F2L,F2L 4,Pieces On Top,F U F',y L U L',y' R U R',,,,,1
F2L04-2,F2L,F2L 4,Pieces On Top,L U L',,,,,,,2
F2L04-3,F2L,F2L 4,Pieces On Top,f R f',y' L U L',y R U R',U' r R2' U R U' M,,,,3
F2L05,F2L,F2L 5,Pieces On Top,U' R U R' U2 R U' R',U' R U R' U2' R U' R',U' R U R' U' R U2 R',y2 U' L U L' U2 L U' L',,,,0
F2L05-1,F2L,F2L 5,Pieces On Top,U R' F r U' r' F' R,U l' U L U' L' U' l,y' U' R U R' U2 R U' R',y U' L U L' U2 L U' L',,,,1
F2L05-2,F2L,F2L 5,Pieces On Top,U' L U L' U' L U2 L',U' L U L' U2 L U' L',,,,,,2
F2L05-3,F2L,F2L 5,Pieces On Top,U' R' F R U R' U' F' R,U r' U R U' R' U' r,R2 F' U' F U R2,y U' R U R' U2 R U' R',,,,3
F2L06,F2L,F2L 6,Pieces On Top,U' r U' R' U R U r',y' U R' U' R U2 R' U R,d R' U' R U2 R' U R,y U L' U' L U2 L' U L,,,,0
F2L06-1,F2L,F2L 6,Pieces On Top,U L' U' L U2' L' U L,F2 R U R' U' F2,U L' U' L U L' U2 L,R' F2 R U R' U' F2 U R,,,,1
F2L06-2,F2L,F2L 6,Pieces On Top,U r U' r' U' L U F L',y U R' U' R U R' U2' R,U' l U' L' U L U l',U L F' L' U' L U F L',,,,2
F2L06-3,F2L,F2L 6,Pieces On Top,U R' U' R U2 R' U R,U R' U' R U R' U2' R,U R' U' R U R' U2 R,,,,,3
F2L07,F2L,F2L 7,Pieces On Top,U' R U2' R' U2 R U' R',U' R U2 R' U' R U2 R',U' R U2 R' U R' F R F',y2 U' L U2 L' U2 L U' L',,,,0
F2L07-1,F2L,F2L 7,Pieces On Top,F U R U2' R' U F',d' L U2' L' U2 L U' L',U' F U2 R U' R' U F',l U2 L2 U' L2 U' l',,,,1
F2L07-2,F2L,F2L 7,Pieces On Top,U' L U2 L' U' L U2 L',U' L U2 L' U2 L U' L',,,,,,2
F2L07-3,F2L,F2L 7,Pieces On Top,r U2 R2 U' R2 U' r',F R U R2' U' R F',f R U R2' U' R f',y U' R U2 R' U2 R U' R',,,,3
F2L08,F2L,F2L 8,Pieces On Top,d R' U2' R U R' U2' R,r' U2 R2 U R2' U r,y U L' U2 L U2 L' U L,U2 R' F R2 U' R' U' R U R2' F' R,,,,0
F2L08-1,F2L,F2L 8,Pieces On Top,U L' U2 L U2' L' U L,U L' U2 L U L' U2 L,U L' U2 L U' L F' L' F,U L' U2 L U2 L' U L,,,,1
F2L08-2,F2L,F2L 8,Pieces On Top,l' U2 L2 U L2 U l,y U R' U2' R U R' U2' R,f' L' U' L2 U L' f,F' L' U' L2 U L' F,,,,2
F2L08-3,F2L,F2L 8,Pieces On Top,U R' U2' R U R' U2' R,U R' U2' R U2 R' U R,U R' U2 R U R' U2 R,U R' U2 R U2 R' U R,,,,3
F2L09,F2L,F2L 9,Pieces On Top,U' R U' R' U F' U' F,U' R U' R' d R' U' R,d R' U' R U' R' U' R,y F2 U R U' R' F2,,,,0
F2L09-1,F2L,F2L 9,Pieces On Top,U L' U' L U' L' U' L,U2' L' U L U L' U' L,U2 L' U L U L' U' L,F2 U R U' R' F2,,,,1
F2L09-2,F2L,F2L 9,Pieces On Top,y U2' R' U R U R' U' R,y U R' U' R U' R' U' R,U' L U' L' U f' L' f,U' L U' L' U B' U' B,,,,2
F2L09-3,F2L,F2L 9,Pieces On Top,U2' R' U R U R' U' R,U R' U' R U' R' U' R,U2 R' U R U R' U' R,,,,,3
F2L10,F2L,F2L 10,Pieces On Top,U' R U R' U R U R',U2 R U' R' U' R U R',y' U R' U R U' y R U R',U F' U F U' R U R',,,,0
F2L10-1,F2L,F2L 10,Pieces On Top,U L' U L U' F U F',F U' R U R' U2' F',y' U2 R U' R' U' R U R',U' F U F' U F U F',,,,1
F2L10-2,F2L,F2L 10,Pieces On Top,U' L U L' U L U L',U2 L U' L' U' L U L',,,,,,2
F2L10-3,F2L,F2L 10,Pieces On Top,R2 U' F' U F R2,U R' U R U' f R f',U' R' U' R U2 f R f',y U2 R U' R' U' R U R',,,,3
F2L11,F2L,F2L 11,Pieces On Top,y' R U2 R2 U' R2 U' R',U' R U2 R' U F' U' F,F' U L' U2' L U2 F,U' R U2 R' d R' U' R,,,,0
F2L11-1,F2L,F2L 11,Pieces On Top,L U2 L2 U' L2 U' L',L' U L U' L' U L U2' L' U L,F U R U' R' U R U' R' U F',U' F U2 F' U L' U' L,,,,1
F2L11-2,F2L,F2L 11,Pieces On Top,y R U2' R2' U' R2 U' R',U' L U2 L' U f' L' f,y R U2 R2 U' R2 U' R',,,,,2
F2L11-3,F2L,F2L 11,Pieces On Top,R U2' R2' U' R2 U' R',R U2 R2 U' R2 U' R',R U2 R2' U' R2 U' R',,,,,3
F2L12,F2L,F2L 12,Pieces On Top,R' U2' R2 U R2' U R,R U' R' U R U' R' U2 R U' R',R' D' R U2 R' D R2 U R',U R U' R' U' R U R' U' R U R' U',https://www.youtube.com/watch?v=mQ9MINLqfl0&start=0s,https://img.youtube.com/vi/mQ9MINLqfl0/0.jpg,,0
F2L12-1,F2L,F2L 12,Pieces On Top,F U' R U2' R' U2 F',U L' U2 L U' F U F',y L' U2 L2 U L2' U L,F U' R U2 R' U2 F',,,,1
F2L12-2,F2L,F2L 12,Pieces On Top,L' U2 L2 U L2' U L,L' U2 L2 U L2 U L,,,,,,2
F2L12-3,F2L,F2L 12,Pieces On Top,U R' U2' R U' f R f',f R' U R2 U' R2' f',U R' U2 R d' R U R',y' L' U2 L2 U L2' U L,,,,3
F2L13,F2L,F2L 13,Pieces On Top,y' U R' U R U' R' U' R,y U L' U L U' L' U' L,M' U' R U R' U2' R U' r',d R' U R U' R' U' R,,,,0
F2L13-1,F2L,F2L 13,Pieces On Top,U L' U L U' L' U' L,L' U L U' L' U2 L U2 L' U L,,,,,,1
F2L13-2,F2L,F2L 13,Pieces On Top,d L' U L U' L' U' L,U f' L f U' f' L' f,y U R' U R U' R' U' R,,,,,2
F2L13-3,F2L,F2L 13,Pieces On Top,U R' U R U' R' U' R,,,,,,,3
F2L14,F2L,F2L 14,Pieces On Top,U' R U' R' U R U R',U' R' F R2 U R' U' R' F' R,R U' R' U R U2 R' U2 R U' R',y L' U2 L U2 F U2 F' U F U' F',,,,0
F2L14-1,F2L,F2L 14,Pieces On Top,y U' L U' L' U L U L',d' L U' L' U L U L',y' U' R U' R' U R U R',L' U L U' L F' L' F L' U L,,,,1
