name,algset,case,catalog,alt1,alt2,alt3,alt4,vlink,vimg,fc,ori
OLL01,OLL,OLL 1,Dot Case,R U2 R2 F R F' U2 R' F R F',y R U' R2 D' r U' r' D R2 U R',R U2' R2' F R F' U2' R' F R F',M R U R' U R U' R' U r U2' r' U' M',https://www.youtube.com/watch?v=vU6HsK3hvQs&start=654s,https://img.youtube.com/vi/vU6HsK3hvQs/0.jpg,llllyllllyyyoooooolylggggggwwwwwwwwwyyyrrrrrrlylbbbbbb,0
OLL02,OLL,OLL 2,Dot Case,y' R U' R2' D' r U r' D R2 U R',F R U R' U' S R U R' U' f',y r U r' U2 R U2 R' U2 r U' r',F R U R' U' F' f R U R' U' f',https://www.youtube.com/watch?v=vU6HsK3hvQs&start=665s,https://img.youtube.com/vi/vU6HsK3hvQs/0.jpg,llllylllllyloooooolyyggggggwwwwwwwwwyyyrrrrrryylbbbbbb,0
OLL03,OLL,OLL 3,Dot Case,y R' F2 R2 U2 R' F R U2 R2 F2 R,r' R2 U R' U r U2 r' U M',y' f R U R' U' f' U' F R U R' U' F',M R U R' U r U2 r' U M',https://www.youtube.com/watch?v=vU6HsK3hvQs&start=680s,https://img.youtube.com/vi/vU6HsK3hvQs/0.jpg,llllylylllyybbbbbblyyoooooowwwwwwwwwlylgggggglyyrrrrrr,0
OLL04,OLL,OLL 4,Dot Case,y' R' F2 R2 U2 R' F' R U2 R2 F2 R,y' f R U R' U' f' U F R U R' U' F',M U' r U2 r' U' R U' R' M',l L2' U' L U' l' U2 l U' M',https://www.youtube.com/watch?v=vU6HsK3hvQs&start=690s,https://img.youtube.com/vi/vU6HsK3hvQs/0.jpg,llllylllylylbbbbbbyyloooooowwwwwwwwwyylggggggyylrrrrrr,0
OLL05,OLL,OLL 5,Square Shapes,r' U2 R U R' U r,y2 l' U2 L U L' U l,y2 R' F2 r U r' F R,r' U2' R U R' U r,https://www.youtube.com/watch?v=vU6HsK3hvQs&start=173s,https://img.youtube.com/vi/vU6HsK3hvQs/0.jpg,llllyylyyllyoooooolllggggggwwwwwwwwwlyyrrrrrrlyybbbbbb,0
OLL06,OLL,OLL 6,Square Shapes,r U2 R' U' R U' r',r U2' R' U' R U' r',y2 l U2 L' U' L U' l',y' x' D R2 U' R' U R' D' x,https://www.youtube.com/watch?v=vU6HsK3hvQs&start=181s,https://img.youtube.com/vi/vU6HsK3hvQs/0.jpg,lyylyylllyllooooooyylggggggwwwwwwwwwyylrrrrrrlllbbbbbb,0
OLL07,OLL,OLL 7,Lightning Shapes,r U R' U R U2 r',r U R' U R U2' r',y2 l U L' U L U2 l',F R' F' R U2 R U2 R',https://www.youtube.com/watch?v=vU6HsK3hvQs&start=315s,https://img.youtube.com/vi/vU6HsK3hvQs/0.jpg,lylyylylllyyoooooolyyggggggwwwwwwwwwlllrrrrrrllybbbbbb,0
OLL08,OLL,OLL 8,Lightning Shapes,y2 r' U' R U' R' U2 r,l' U' L U' L' U2 l,R U2 R' U2 R' F R F',R' F' r U' r' F2 R,https://www.youtube.com/watch?v=vU6HsK3hvQs&start=325s,https://img.youtube.com/vi/vU6HsK3hvQs/0.jpg,lyllyyllylllrrrrrryylbbbbbbwwwwwwwwwyylooooooyllgggggg,0
OLL09,OLL,OLL 9,Fish Shapes,y R U R' U' R' F R2 U R' U' F',R U2' R' U' S' R U' R' S,y2 F' U' F r U' r' U r U r',y' L' U' L U' L F' L' F L' U2 L,https://www.youtube.com/watch?v=vU6HsK3hvQs&start=237s,https://img.youtube.com/vi/vU6HsK3hvQs/0.jpg,llyyyllylyylggggggyllrrrrrrwwwwwwwwwyllbbbbbblyloooooo,0
OLL10,OLL,OLL 10,Fish Shapes,R U R' U R' F R F' R U2 R',y F U F' R' F R U' R' F' R,y M' R' U2 R U R' U R U M,y2 L' U' L U L F' L2 U' L U F,https://www.youtube.com/watch?v=vU6HsK3hvQs&start=250s,https://img.youtube.com/vi/vU6HsK3hvQs/0.jpg,llyyyllyllyloooooollyggggggwwwwwwwwwllyrrrrrrlyybbbbbb,0
