name,algset,case,catalog,alt1,alt2,alt3,alt4,vlink,vimg,fc,ori
PLL01,PLL,Aa,Adj Swap,x R' U R' D2 R U' R' D2 R2 x',y x' R2 D2 R' U' R D2 R' U R' x,R' B' R2 D R' U' R D' R' U R' B R,y' x L2 D2 L' U' L D2 L' U L',https://www.youtube.com/watch?v=TWN9LNCHQY8&start=7s,https://img.youtube.com/vi/TWN9LNCHQY8/0.jpg,yyyyyyyyyrogooooooggbggggggwwwwwwwwwbrrrrrrrrobobbbbbb,0
PLL02,PLL,Ab,Adj Swap,x R2 D2 R U R' D2 R U' R x',R' B' R U' R D R' U R D' R2' B R,y x' R U' R D2 R' U R D2 R2 x,y' x L U' L D2 L' U L D2 L2,https://www.youtube.com/watch?v=TWN9LNCHQY8&start=19s,https://img.youtube.com/vi/TWN9LNCHQY8/0.jpg,yyyyyyyyybobooooooggoggggggwwwwwwwwworrrrrrrrrbgbbbbbb,0
PLL03,PLL,E,Opp Swap,y x' R U' R' D R U R' D' R U R' D R U' R' D' x,y R' U' R' D' R U' R' D R U R' D' R U R' D R2,y x' L' U L D' L' U' L D L' U' L D' L' U L D,r U R U' r' F R' F' r U R' U' r' F R F',https://www.youtube.com/watch?v=Ge5OOjD9k_k&start=0s,https://img.youtube.com/vi/Ge5OOjD9k_k/0.jpg,yyyyyyyyyrgogggggggrbrrrrrrwwwwwwwwwobrbbbbbbbogoooooo,0
PLL04,PLL,F,Adj Swap,y R' U' F' R U R' U' R' F R2 U' R' U' R U R' U R,R' U R U' R2 F' U' F U R F R' F' R2,y R' F R f' R' F R2 U R' U' R' F' R2 U R' S,y R2' F R F' R' U' F' U F R2 U R' U' R,https://www.youtube.com/watch?v=JvqGU0UZPcE&start=135s,https://img.youtube.com/vi/JvqGU0UZPcE/0.jpg,yyyyyyyyygboggggggrrrrrrrrrwwwwwwwwwogbbbbbbbbogoooooo,0
PLL05,PLL,Ga,Adj Swap,R2 U R' U R' U' R U' R2 D U' R' U R D',R2 u R' U R' U' R u' R2 F' U F,D' R2 U R' U R' U' R U' R2 U' D R' U R,R2 U R' U R' U' R U' R2' D U' R' U R D',https://www.youtube.com/watch?v=nBMCuMiSFIg&start=23s,https://img.youtube.com/vi/nBMCuMiSFIg/0.jpg,yyyyyyyyybrgoooooogooggggggwwwwwwwwwrbrrrrrrrogbbbbbbb,0
PLL06,PLL,Gb,Adj Swap,R' U' R U D' R2 U R' U R U' R U' R2 D,y F' U' F R2 u R' U R U' R u' R2,R' d' F R2 u R' U R U' R u' R2,D R' U' R U D' R2 U R' U R U' R U' R2,https://www.youtube.com/watch?v=nBMCuMiSFIg&start=46s,https://img.youtube.com/vi/nBMCuMiSFIg/0.jpg,yyyyyyyyybggoooooogboggggggwwwwwwwwwrorrrrrrrorbbbbbbb,0
PLL07,PLL,Gc,Adj Swap,R2 U' R U' R U R' U R2 D' U R U' R' D,y2 R2 F2 R U2 R U2 R' F R U R' U' R' F R2,R2' u' R U' R U R' u R2 f R' f',R2' U' R U' R U R' U R2 D' U R U' R' D,https://www.youtube.com/watch?v=nBMCuMiSFIg&start=150s,https://img.youtube.com/vi/nBMCuMiSFIg/0.jpg,yyyyyyyyybrgoooooogboggggggwwwwwwwwwrgrrrrrrroobbbbbbb,0
PLL08,PLL,Gd,Adj Swap,R U R' U' D R2 U' R U' R' U R' U R2 D',D' R U R' U' D R2 U' R U' R' U R' U R2,R U R' y' R2 u' R U' R' U R' u R2,y R2 F' R U R U' R' F' R U2 R' U2 R' F2 R2,https://www.youtube.com/watch?v=nBMCuMiSFIg&start=154s,https://img.youtube.com/vi/nBMCuMiSFIg/0.jpg,yyyyyyyyybbgoooooogroggggggwwwwwwwwwrorrrrrrrogbbbbbbb,0
PLL09,PLL,H,EPLL,M2 U M2 U2 M2 U M2,M2 U' M2 U2 M2 U' M2,M2' U' M2' U2' M2' U' M2',M2' U M2' U2 M2' U M2',https://www.youtube.com/watch?v=JvqGU0UZPcE&start=13s,https://img.youtube.com/vi/JvqGU0UZPcE/0.jpg,yyyyyyyyyorooooooogbgggggggwwwwwwwwwrorrrrrrrbgbbbbbbb,0
PLL10,PLL,Ja,Adj Swap,y2 x R2 F R F' R U2 r' U r U2 x',L' U' L F L' U' L U L F' L2 U L,y R' U L' U2 R U' R' U2 R L,y2 M' R' F R F' R U2 r' U r U2 r',https://www.youtube.com/watch?v=TWN9LNCHQY8&start=104s,https://img.youtube.com/vi/TWN9LNCHQY8/0.jpg,yyyyyyyyyrrrggggggoobrrrrrrwwwwwwwwwbbgbbbbbbggooooooo,0
PLL11,PLL,Jb,Adj Swap,R U R' F' R U R' U' R' F R2 U' R',R U2 R' U' R U2 L' U R' U' L,L' U R U' L U2 R' U R U2 R',r' F R F' r U2 R' U R U2 R',https://www.youtube.com/watch?v=JvqGU0UZPcE&start=171s,https://img.youtube.com/vi/JvqGU0UZPcE/0.jpg,yyyyyyyyyorroooooorggggggggwwwwwwwwwbbbrrrrrrgoobbbbbb,0
PLL12,PLL,Na,Opp Swap,R U R' U R U R' F' R U R' U' R' F R2 U' R' U2 R U' R',F' R U R' U' R' F R2 F U' R' U' R U F' R',R F U' R' U R U F' R2' F' R U R U' R' F,r' D r U2 r' D r U2 r' D r U2 r' D r U2 r' D r,,,yyyyyyyyyorroooooobggggggggwwwwwwwwwroorrrrrrgbbbbbbbb,0
PLL13,PLL,Nb,Opp Swap,r' D' F r U' r' F' D r2 U r' U' r' F r F',R' U R U' R' F' U' F R U R' F R' F' R U' R,R' U L' U2 R U' L R' U L' U2 R U' L,R' U R U' R' F' U' F R U R' U' R U' f R f',,,yyyyyyyyyrroooooooggbggggggwwwwwwwwwoorrrrrrrbbgbbbbbb,0
PLL14,PLL,Ra,Adj Swap,y R U' R' U' R U R D R' U' R D' R' U2 R',y R U R' F' R U2 R' U2 R' F R U R U2 R',L U2 L' U2 L F' L' U' L U L F L2,y2 R U2 R' U2 R B' R' U' R U R B R2,https://www.youtube.com/watch?v=JvqGU0UZPcE&start=190s,https://img.youtube.com/vi/JvqGU0UZPcE/0.jpg,yyyyyyyyyrrgggggggbobrrrrrrwwwwwwwwwgbobbbbbbogroooooo,0
PLL15,PLL,Rb,Adj Swap,R' U2 R U2 R' F R U R' U' R' F' R2,y R2 F R U R U' R' F' R U2 R' U2 R,R' U2 R' D' R U' R' D R U R U' R' U' R,y R2' F R U R U' R' F' R U2' R' U2 R,https://www.youtube.com/watch?v=JvqGU0UZPcE&start=208s,https://img.youtube.com/vi/JvqGU0UZPcE/0.jpg,yyyyyyyyygrooooooorgrggggggwwwwwwwwwobbrrrrrrbogbbbbbb,0
PLL16,PLL,T,Adj Swap,R U R' U' R' F R2 U' R' U' R U R' F',R U R' U' R' F R2 U' R' U F' L' U L,y2 L' U' L U L F' L2 U L U L' U' L F,R2 U R2 U' R2 U' D R2 U' R2 U R2 D',https://www.youtube.com/watch?v=JvqGU0UZPcE&start=227s,https://img.youtube.com/vi/JvqGU0UZPcE/0.jpg,yyyyyyyyybrgooooooggoggggggwwwwwwwwwrorrrrrrrobbbbbbbb,0
PLL17,PLL,Ua,EPLL,y2 M2 U M U2 M' U M2,R U R' U R' U' R2 U' R' U R' U R,M2 U M' U2 M U M2,y R2 U' S' U2' S U' R2,https://www.youtube.com/watch?v=JvqGU0UZPcE&start=40s,https://img.youtube.com/vi/JvqGU0UZPcE/0.jpg,yyyyyyyyyobooooooogggggggggwwwwwwwwwrorrrrrrrbrbbbbbbb,0
PLL18,PLL,Ub,EPLL,y2 M2 U' M U2 M' U' M2,R' U R' U' R3 U' R' U R U R2,y2 R2' U R U R' U' R3 U' R' U R',M2 U' M' U2 M U' M2,https://www.youtube.com/watch?v=JvqGU0UZPcE&start=57s,https://img.youtube.com/vi/JvqGU0UZPcE/0.jpg,yyyyyyyyyorooooooogggggggggwwwwwwwwwrbrrrrrrrbobbbbbbb,0
PLL19,PLL,V,Opp Swap,R' U R' U' R D' R' D R' U D' R2 U' R2' D R2,y R U' R U R' D R D' R U' D R2 U R2 D' R2,R' U R' U' y R' F' R2 U' R' U R' F R F,R' U R U' R' f' U' R U2 R' U' R U' R' f R,https://www.youtube.com/watch?v=1wUqCM94UlA&start=0s,https://img.youtube.com/vi/1wUqCM94UlA/0.jpg,yyyyyyyyyrboooooooggbggggggwwwwwwwwworrrrrrrrbogbbbbbb,0
PLL20,PLL,Y,Opp Swap,F R U' R' U' R U R' F' R U R' U' R' F R F',F R' F R2 U' R' U' R U R' F' R U R' U' F',F R' F' R U R U' R2' U' R U R f' U' f,R2 U' R2' U' R2 U F U F' R2' F U' F',https://www.youtube.com/watch?v=JvqGU0UZPcE&start=245s,https://img.youtube.com/vi/JvqGU0UZPcE/0.jpg,yyyyyyyyyrooooooooggbggggggwwwwwwwwwobrrrrrrrbrgbbbbbb,0
PLL21,PLL,Z,EPLL,M2 U M2 U M' U2 M2 U2 M',M' U' M2' U' M2' U' M' U2' M2',y M2 U2 M U M2 U M2 U M,y M2 U' M2 U' M' U2 M2 U2 M',https://www.youtube.com/watch?v=JvqGU0UZPcE&start=25s,https://img.youtube.com/vi/JvqGU0UZPcE/0.jpg,yyyyyyyyyrbroooooobrbggggggwwwwwwwwwogorrrrrrgogbbbbbb,0
